WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 23/02/2025",Issued,14:45:04,Processed by Global Blue,1421411,UNITED STATES,0200017955,11065408317117073102,"289.980,00","37.697,40"
"domingo, 23/02/2025",Issued,14:51:31,Processed by Global Blue,1421411,UNITED STATES,00200017956,11065408317117073125,"112.990,00","14.688,70"
"domingo, 23/02/2025",Issued,16:09:50,Issued,1421411,MEXICO,00200017960,11065408317117073314,"205.950,00","26.773,50"
"martes, 25/02/2025",Issued,18:19:07,Processed by Global Blue,1421411,MEXICO,00200017996,11065408317117075244,"722.880,00","101.203,20"
"viernes, 28/02/2025",Issued,15:14:08,Processed by Global Blue,1421411,UNITED STATES,0200018018,11065408317117077559,"9.990,00","1.298,70"
"sábado, 01/03/2025",Issued,14:18:17,Issued,1421411,JAPAN,0200018023,11065408317117078273,"79.980,00","10.397,40"
"sábado, 01/03/2025",Issued,17:12:42,Processed by Global Blue,1421411,SINGAPORE,0200018026,11065408317117078481,"189.990,00","24.698,70"
"jueves, 06/03/2025",Issued,15:52:34,Issued,1421411,FRANCE,0200018060,11065408317117083436,"89.990,00","11.698,70"
"jueves, 06/03/2025",Issued,15:58:04,Issued,1421411,FRANCE,0200018065,11065408317117083443,"171.990,00","22.358,70"
"jueves, 06/03/2025",Issued,17:23:06,Issued,1421411,VENEZUELA,0200018069,11065408317117083616,"164.960,00","21.444,80"
"sábado, 08/03/2025",Issued,11:53:50,Processed by Global Blue,1421411,ALBANIA,0200018087,11065408317117086358,"94.990,00","12.348,70"
"domingo, 09/03/2025",Issued,13:18:41,Processed by Global Blue,1421411,MEXICO,0200018113,11065408317117089444,"44.910,00","5.838,30"
"domingo, 09/03/2025",Issued,14:10:44,Issued,1421411,"KOREA, REPUBLIC OF",0200018118,11065408317117089655,"533.970,00","74.755,80"
"martes, 11/03/2025",Issued,13:08:34,Issued,1421411,UNITED STATES,0200018132,11065408317117091453,"155.980,00","20.277,40"
"miércoles, 12/03/2025",Issued,15:00:56,Issued,1421411,MEXICO,0200018152,11065408317117092396,"100.950,00","13.123,50"
"viernes, 14/03/2025",Issued,12:41:48,Refunded by Global Blue,1421411,AUSTRALIA,0200018178,11065408317117094353,"129.980,00","16.897,40"
"viernes, 14/03/2025",Issued,14:42:49,Issued,1421411,ECUADOR,00018185,11065408317117094629,"49.950,00","6.493,50"
"sábado, 15/03/2025",Issued,16:45:49,Issued,1421411,PERU,0218197,11065408317117096276,"102.960,00","13.384,80"
"domingo, 16/03/2025",Issued,10:33:58,Processed by Global Blue,1421411,COLOMBIA,0200018201,11065408317117096932,"99.990,00","12.998,70"
"domingo, 16/03/2025",Issued,10:47:13,Issued,1421411,GUATEMALA,0200018203,11065408317117096945,"239.990,00","31.198,70"
"domingo, 16/03/2025",Issued,12:42:17,Issued,1421411,PERU,0200018207,11065408317117097124,"13.990,00","1.818,70"
"domingo, 16/03/2025",Issued,13:13:29,Processed by Global Blue,1421411,COSTA RICA,0200018212,11065408317117097195,"325.990,00","42.378,70"
"domingo, 16/03/2025",Issued,13:50:19,Processed by Global Blue,1421411,AFGHANISTAN,0200018214,11065408317117097287,"69.990,00","9.098,70"
"domingo, 16/03/2025",Issued,15:06:25,Issued,1421411,UNITED STATES,0200018220,11065408317117097475,"51.990,00","6.758,70"
"lunes, 17/03/2025",Issued,14:32:03,Processed by Global Blue,1421411,PERU,00018235,11065408317117098275,"594.970,00","83.295,80"
"lunes, 17/03/2025",Issued,14:37:41,Processed by Global Blue,1421411,PERU,00018236,11065408317117098299,"89.980,00","11.697,40"
"lunes, 17/03/2025",Issued,14:45:07,Processed by Global Blue,1421411,PERU,00018237,11065408317117098321,"349.960,00","45.494,80"
"miércoles, 19/03/2025",Issued,12:32:20,Issued,1421411,UNITED STATES,0200018244,11065408317117100350,"286.980,00","37.307,40"
